Region,Site,Station,Date 1,Date 2,Thickness at Date 1 (cm),Thickness at Date 2 (cm),Thickness at Date 3 (cm),Lat,Lon,water_lat,water_lon,Notes,
LFK,CBD,S18,11/19/2017,3/13/2018,1,2,<0.1,24.64994,-81.59644,24.653879,-81.596217,,
LFK,LAD,S1,11/18/2017,3/14/2018,1,,1,,,,,,
LFK,LAD,S2,11/18/2017,3/14/2018,0.25,,1,,,,,,
LFK,LAD,S3,11/18/2017,3/14/2018,0.5,,<0.1,,,,,,
LFK,LAD,S4,11/18/2017,3/14/2018,2,,<0.1,,,,,,
LFK,LAD,S5,11/18/2017,3/14/2018,5,,<0.1,,,,,,
LFK,LAD,S6,11/18/2017,3/14/2018,2,,<0.1,,,,,,
LFK,LAD,S7,11/18/2017,3/14/2018,2,,<0.1,,,,,,
LFK,LAD,S8,11/18/2017,3/14/2018,1,,<0.1,,,,,,
LFK,LAD,S9,11/18/2017,3/14/2018,<0.1,,<0.1,,,,,,
LFK,LAD,S10,11/18/2017,3/14/2018,0.1,,<0.1,,,,,,
LFK,LAD,S11,11/18/2017,3/14/2018,<0.1,,1,,,,,,
LFK,LAD,S12,11/18/2017,3/14/2018,1,,2,,,,,,
LFK,LAD,S13,11/18/2017,3/14/2018,1,,6.5,,,,,,
LFK,LAD,S14,11/18/2017,3/14/2018,5,,2,,,,,,
LFK,LAD,S15,11/18/2017,3/14/2018,,,1,,,,,,
LFK,WTZ,S1,11/19/2017,3/14/2018,<1,1,0,24.6475,-81.65353,24.647714,-81.653949,,
LFK,WTZ,S2,11/19/2017,3/14/2018,<1,1,0.5,24.6476,-81.6536,24.647714,-81.653949,,
LFK,WTZ,S3,11/19/2017,3/14/2018,<1,0,<0.1,24.64763,-81.65363,24.647714,-81.653949,,
LFK,WTZ,S4,11/19/2017,3/14/2018,0.2,0,7.5,24.64763,-81.65366,24.647714,-81.653949,,
LFK,WTZ,S5,11/19/2017,3/14/2018,<0.1,1,0,24.64765,-81.65372,24.647714,-81.653949,,
LFK,WTZ,S6,11/19/2017,3/14/2018,0.2,0.5,0.5,24.64765,-81.65377,24.647714,-81.653949,,
LFK,WTZ,S7,11/19/2017,3/14/2018,0.2,0.5,0,24.64769,-81.65378,24.647714,-81.653949,,
LFK,WTZ,S8,11/19/2017,3/14/2018,0.2,0.5,<0.1,24.64768,-81.65382,24.647714,-81.653949,,
LFK,WTZ,S9,11/19/2017,3/14/2018,0.3,0.2,0.75,24.6477,-81.65384,24.647714,-81.653949,,
LFK,WTZ,S10,11/19/2017,3/14/2018,0.2,0.2,0.5,24.6477,-81.65386,24.647714,-81.653949,,
LFK,WTZ,S11,11/19/2017,3/14/2018,0.75,0.5,0,24.6477,-81.6539,24.647714,-81.653949,,
LFK,WTZ,S12,11/19/2017,3/14/2018,4,0.5,<0.1,24.64771,-81.65391,24.647714,-81.653949,,
,,,,,,,0.75,,,,,,
,,,,,,,1.5,,,,,,
,,,,,,,1.5,,,,,,
